id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
10036,CL CAÑA LA 2,Urbano,Residencial,62,1995,NULL,0,false,Jaime Alcon,false,"[""39.3989466697085"",""39.4016446302915"",""-0.401539880291502"",""-0.3988419197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10037,CL REINA 41,Urbano,Residencial,94,1920,NULL,0,false,Jaime Alcon,false,"[""39.39935261970849"",""39.40205058029149"",""-0.4008179302915021"",""-0.398119969708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10038,CL SAN ANTONIO 35,Urbano,Residencial,115,1986,NULL,0,false,Jaime Alcon,false,"[""39.4028143197085"",""39.4055122802915"",""-0.4058687802915021"",""-0.403170819708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10039,CM VELL DE SILLA 717,Urbano,Industrial,442,2001,NULL,0,false,NULL,false,"[""39.3733924"",""39.3801922"",""-0.4112255302915021"",""-0.408527569708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10040,BO TRANVIARIOS 9,Urbano,Residencial,185,2008,NULL,0,false,Jaime Alcon,false,"[""39.4052049197085"",""39.40790288029149"",""-0.402307380291502"",""-0.3996094197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10041,CL PINTOR SOROLLA 2,Urbano,Residencial,111,1930,NULL,0,false,Jaime Alcon,false,"[""39.4005505197085"",""39.4032484802915"",""-0.403853680291502"",""-0.4011557197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10042,CL JOANOT MARTORELL 15,Urbano,Residencial,280,1930,NULL,0,false,Jaime Alcon,false,"[""39.4020800697085"",""39.4047780302915"",""-0.4026631302915021"",""-0.399965169708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10043,CL COLON 39,Urbano,Residencial,74,2002,NULL,0,false,Jaime Alcon,false,"[""39.4025280697085"",""39.4052260302915"",""-0.406657080291502"",""-0.4039591197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10044,CL CASETES D'ISIDORO 31,Urbano,Residencial,109,1910,NULL,0,false,Jaime Alcon,false,"[""39.4003598697085"",""39.40305783029149"",""-0.4036920802915021"",""-0.400994119708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10045,CL MUSICO J MANUEL IZQUIERDO 14,Urbano,Residencial,72,1930,NULL,0,false,NULL,false,"[""39.4232195697085"",""39.4259175302915"",""-0.386043180291502"",""-0.3833452197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10046,AV DOCTOR GOMEZ FERRER 4,Urbano,Industrial,170,1960,NULL,0,false,Jaime Alcon,false,"[""39.4027768197085"",""39.4054747802915"",""-0.403597280291502"",""-0.400899319708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10047,CL SEQUIA BENAGER 9,Urbano,Residencial,268,1991,NULL,0,false,NULL,false,"[""39.4017085197085"",""39.4044064802915"",""-0.417751130291502"",""-0.4150531697084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10048,CL FIGUERA DE LA 4,Urbano,Residencial,54,1920,NULL,0,false,Jaime Alcon,false,"[""39.4032207197085"",""39.40591868029149"",""-0.405160780291502"",""-0.402462819708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10049,CL GALICIA 43,Urbano,Residencial,148,1950,NULL,0,false,Jaime Alcon,false,"[""39.4029243697085"",""39.4056223302915"",""-0.4069273302915021"",""-0.404229369708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10050,CL CORDOBA 14,Urbano,Residencial,95,1997,NULL,0,false,NULL,false,"[""39.39618341970851"",""39.39888138029151"",""-0.411489580291502"",""-0.4087916197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10051,CL REINA 20,Urbano,Residencial,133,1920,NULL,0,false,Jaime Alcon,false,"[""39.39935261970849"",""39.40205058029149"",""-0.4019327302915021"",""-0.399234769708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10052,CL HORTA L' 11,Urbano,Industrial,56,1950,NULL,0,false,NULL,false,"[""39.3984181697085"",""39.4011161302915"",""-0.4066515802915021"",""-0.403953619708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
